Angle_deg,Mass_kg,Bore_mm,Force_N,Volume_L,KE_J,Accel_g
8,31,77.964956730599,4774.06981517254,177.552834294792,41134.3618585478,14.717813914909
9,31,78.0097473075967,4779.55676145835,177.552834294792,41134.3618585478,14.717813914909
10,31,78.0543484157943,4785.02362874808,177.552834294792,41134.3618585478,14.717813914909
11,31,78.0987468054749,4790.46875178101,177.552834294792,41134.3618585478,14.717813914909
12,31,78.1429293094839,4795.8904719199,177.552834294792,41134.3618585478,14.717813914909
13,31,78.1868828467556,4801.28713765629,177.552834294792,41134.3618585478,14.717813914909
14,31,78.230594425792,4806.65710511351,177.552834294792,41134.3618585478,14.717813914909
15,31,78.2740511480934,4811.99873854746,177.552834294792,41134.3618585478,14.717813914909
5,32,78.8743209673438,4886.08646643439,182.351559546002,42246.1013682383,14.717813914909
6,32,78.9202074758869,4891.77325177452,182.351559546002,42246.1013682383,14.717813914909
7,32,78.9659427205855,4897.44458184246,182.351559546002,42246.1013682383,14.717813914909
8,32,79.0115130447829,4903.09872909613,182.351559546002,42246.1013682383,14.717813914909
9,32,79.0569048644818,4908.73397122749,182.351559546002,42246.1013682383,14.717813914909
10,32,79.1021046720612,4914.34859168722,182.351559546002,42246.1013682383,14.717813914909
11,32,79.147099039948,4919.94088020752,182.351559546002,42246.1013682383,14.717813914909
12,32,79.1918746242394,4925.50913332314,182.351559546002,42246.1013682383,14.717813914909
13,32,79.2364181682768,4931.05165489025,182.351559546002,42246.1013682383,14.717813914909
14,32,79.2807165061721,4936.56675660307,182.351559546002,42246.1013682383,14.717813914909
15,32,79.3247565662835,4942.0527585082,182.351559546002,42246.1013682383,14.717813914909
5,33,79.9054016048983,5014.6676892353,187.150284797213,43357.8408779287,14.717813914909
6,33,79.9518879625419,5020.50412682122,187.150284797213,43357.8408779287,14.717813914909
7,33,79.9982210789519,5026.32470241726,187.150284797213,43357.8408779287,14.717813914909
8,33,80.0443871189457,5032.12764301971,187.150284797213,43357.8408779287,14.717813914909
9,33,80.0903723209497,5037.91118099664,187.150284797213,43357.8408779287,14.717813914909
10,33,80.1361630007654,5043.67355462636,187.150284797213,43357.8408779287,14.717813914909
11,33,80.1817455552884,5049.41300863404,187.150284797213,43357.8408779287,14.717813914909
12,33,80.2271064661782,5055.12779472638,187.150284797213,43357.8408779287,14.717813914909
13,33,80.2722323034794,5060.8161721242,187.150284797213,43357.8408779287,14.717813914909
14,33,80.3171097291934,5066.47640809262,187.150284797213,43357.8408779287,14.717813914909
15,33,80.3617255008,5072.10677846894,187.150284797213,43357.8408779287,14.717813914909
5,34,80.9233458479109,5143.2489120362,191.949010048424,44469.5803876192,14.717813914909
6,34,80.970424412329,5149.23500186792,191.949010048424,44469.5803876192,14.717813914909
7,34,81.0173477833169,5155.20482299206,191.949010048424,44469.5803876192,14.717813914909
